name,x,y
sourcebus,0,0
subxfmr_lsb,11735514.42,3709460.816
05410,11735514.42,3709460.816
n284067,11736267.68,3716755.406
n284069,11736270.98,3716763.767
n292548,11740597.86,3714752.969
n292535,11740589.66,3714590.009
n284033_lo,11734946.98,3716367.332
n284031,11734944.88,3716346.457
n284158,11735154.49,3718139.505
n284141,11735219.81,3718067.52
n1381582,11737001.09,3722584.487
n1413717,11736996.22,3722566.342
n284453,11737840.99,3726076.191
n284454,11737920.67,3726226.29
n292280,11739203.87,3710282.522
n292283,11739179.77,3710299.445
n284404,11738383.8,3725011.699
n284426,11738674.6,3725263.619
n292979,11739047.56,3725223.727
n284382,11737820.01,3724661.946
n284387,11737559.78,3724727.039
n284397,11738038.12,3724920.137
n284394,11737067.22,3724870.343
n284433,11736679.4,3725413.54
n284414,11736787.46,3725116.333
n284367,11737093.1,3724397.976
n284372,11736662.28,3724481.035
n284383,11736353.48,3724702.457
n312486,11746152.78,3714426.016
n312424,11746005.82,3713868.858
n312492,11745843.19,3714461.712
n312536,11745966.49,3714849.441
n300533,11745395.72,3713362.549
n312395,11745525.31,3713640.649
n300557,11745119.46,3713746.592
n300550,11745053.1,3713580.251
n300576,11745277.35,3714118.056
n300591,11745384.37,3714327.426
n312512,11745534.53,3714628.437
n300612,11745090.2,3714508.461
n300587,11744986.67,3714251.866
n300566,11744829.06,3713884.898
n300555,11744766.94,3713724.714
n300570,11744525.56,3714020.192
n300593,11744654.38,3714355.457
n300609,11744703.47,3714500.902
n300614,11744747.17,3714539.274
n300468,11743886.62,3711629.707
n300452,11744603.09,3711361.535
n312429,11746270.25,3713890.538
n312419,11746390.82,3713849.124
n312351,11745943.72,3713138.78
n300674,11744623.6,3714981.669
n300664,11744783.43,3714938.157
n300676,11744431.6,3714990.137
n300654,11744881.65,3714815.475
n300656,11744920.59,3714852.301
n300717,11744652.12,3715289.281
n300714,11744815.01,3715252.001
n300719,11744444.53,3715300.077
n300742,11744644.4,3715653.555
n300740,11744802.79,3715617.691
n300736,11745037.52,3715553.442
n300750,11745191.93,3715812.855
n300762,11744681.13,3715950.009
n300764,11744352.01,3715974.348
n300678,11745211.86,3714990.885
n300646,11744910,3714783.067
n300728,11745228.62,3715515.712
n312566,11745467.19,3715210.171
n312588,11745655.43,3715450.418
n312602,11745837.98,3715655.433
n312606,11745845.2,3715671.902
n312610,11745524.28,3715776.446
n312595,11746202.26,3715564.635
n312599,11746149.39,3715595.528
n312615,11746317.45,3715803.568
n312625,11746352.07,3715881.164
n300653,11745314.45,3714813.798
n312551,11745662.89,3715011.182
n312510,11745547.4,3714617.856
n312584,11746028.66,3715377.157
n312568,11745841.19,3715223.616
n312509,11746189.46,3714608.336
n312558,11746335.11,3715062.788
n312581,11746563.6,3715294.419
n300711,11744993.64,3715205.687
n312366,11745831.58,3713294.911
n312345,11745655.61,3713047.327
n300518,11745123.34,3713120.384
n300519,11744923.4,3713194.582
n300522,11744939.29,3713229.478
n300524,11744614.02,3713303.838
n300529,11744621.79,3713347.228
n312436,11745652.73,3713945.391
n312340,11745803.21,3713011.73
n312290_lo,11745710.83,3712772.441
n312312,11745734.01,3712873.49
n284344,11737933.16,3723470.26
n284348,11737657.46,3723618.248
n292874,11738757.32,3721718.274
n284317,11738705.87,3722090.244
n284346,11736601.47,3723605.283
n284358,11736691.39,3724108.071
n284336,11736509.44,3723068.335
n284341,11736335.62,3723440.221
n284291,11738112.8,3721039.802
n284309,11738312.02,3721589.632
n284273,11738071.17,3720492.243
n284236,11738113.85,3719939.482
n284270,11738749.5,3720430.86
n284246,11738740.18,3720140.458
n292846,11738756.77,3721090.374
n292863,11738755.72,3721498.021
n283913,11737054.77,3714686.449
n283938,11737011.92,3715127.34
n284085,11737840.06,3716991.036
n284034,11737941.55,3716370.425
n284119,11737933.65,3717674.744
n284126,11738265.77,3717825.69
n284117,11738548.11,3717570.038
n292718,11739006.38,3717811.53
n292730,11738814.15,3718051.245
n292715,11739569.12,3717695.027
n292725,11739553.69,3717973.642
n292699,11739384.55,3717115.164
n292703,11738981.96,3717330.662
n284102,11738490.35,3717311.806
n284078,11738500.02,3716907.703
