name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
fdr_05410,true,3,3,60,subxfmr_lsb,05410,1,ft,busbar,
05410_10000108732ug,true,1,1,60,n284067.1,n284069.1,8.990600000000001,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_10000108797ug,true,3,3,60,n292548.1.2.3,n292535.1.2.3,208.024,ft,ug_1/0_al_xlpe_35kv,
05410_10000339601oh,true,1,1,60,n284033_lo.3,n284031.3,22.9889,ft,,oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_cn
05410_10000339807oh,true,3,3,60,n284158.1.2.3,n284141.1.2.3,97.20740000000001,ft,,oh3p_fr8_n56_oh_477_aac_oh_336_aac_abcn
05410_10051444120oh,true,1,1,60,n1381582.1,n1413717.1,18.7875,ft,,oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_an
05410_10094019oh,true,1,1,60,n284453.1,n284454.1,169.9348,ft,,oh3p_armlpin_n30_oh_1/0_aaac_6201_oh_1/0_aaac_6201_an
05410_10105185ug,true,3,3,60,n292280.1.2.3,n292283.1.2.3,29.4437,ft,ug_1/0_al_xlpe_35kv,
05410_103405ug,true,1,1,60,n284404.1,n284426.1,400.456,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103406ug,true,1,1,60,n284426.1,n292979.1,487.9323,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103407ug,true,1,1,60,n284382.1,n284387.1,393.2572,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103408ug,true,1,1,60,n284397.1,n284394.1,1254.0305,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103409ug,true,1,1,60,n284394.1,n284433.1,671.2453,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103410ug,true,1,1,60,n284433.1,n284414.1,633.0038,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103411ug,true,1,1,60,n284367.1,n284387.1,755.2763,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103412ug,true,1,1,60,n284414.1,n284372.1,1141.5473,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_103431ug,true,1,1,60,n284372.1,n284383.1,580.9742,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_107740ug,true,2,2,60,n312486.1.2,n312424.1.2,576.2141,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_107741ug,true,1,1,60,n312492.2,n312536.2,446.3274,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_107742ug,true,1,1,60,n300533.3,n312395.3,475.9373,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_107744ug,true,1,1,60,n300557.3,n300550.3,179.0874,ft,ug_1/0_al_xlpe_35kv_1_phase,
05410_107745ug,true,1,1,60,n300576.3,n300557.3,403.6284,ft,ug_1/0_al_xlpe_35kv_1_phase,
