name,enabled,n_phases,n_conds,base_freq,x_hl,x_ht,x_lt,pct_load_loss,ppm_anti_float
subxfmr,true,3,4,60,0.1063,0.35,0.3,0.24,1E-6
step_05410_a1,true,3,4,60,0.0605,0.35,0.3,0.5368234200000001,1E-6
step_05410_a2,true,3,4,60,0.0605,0.35,0.3,0.5368234200000001,1E-6
step_05410_g2001sj8600_1,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001sj8600_2,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001sk2300,true,1,2,60,0.0348,0.35,0.3,1,1E-6
step_05410_g2001ti7700_1,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001ti7700_2,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001vd7700,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001ve1300_1,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001ve1300_2,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001vh1300_1,true,1,2,60,0.04055,0.35,0.3,0.9450000000000001,1E-6
step_05410_g2001vh1300_2,true,1,2,60,0.04055,0.35,0.3,0.9450000000000001,1E-6
step_05410_g2001xe8200,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2001xe9300,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2100ci3100,true,1,2,60,0.0372,0.35,0.3,0.8149999999999999,1E-6
step_05410_g2100ci5100,true,1,2,60,0.0372,0.35,0.3,0.8149999999999999,1E-6
step_05410_g2100oj1900,true,1,2,60,0.042,0.35,0.3,0.79,1E-6
step_05410_g2101al3800_1,true,1,2,60,0.04055,0.35,0.3,0.9450000000000001,1E-6
step_05410_g2101al3800_2,true,1,2,60,0.04055,0.35,0.3,0.9450000000000001,1E-6
step_05410_g2101cc3300,true,1,2,60,0.0348,0.35,0.3,1,1E-6
step_05410_g2101cd0200,true,1,2,60,0.04055,0.35,0.3,0.9450000000000001,1E-6
step_05410_g2101dc0000,true,1,2,60,0.0348,0.35,0.3,1,1E-6
step_05410_g2101fb2700,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
step_05410_g2101fb2701,true,1,2,60,0.0372,0.35,0.3,0.8100000000000002,1E-6
05410_g2000ff4400,true,1,2,60,0.01575,0.35,0.3,1.4,1E-6
05410_g2000rn2800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000ro4500,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000sk5500,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000sk7800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000sn2500,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000sn8400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000sn8800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000so1800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000so2200,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000so9400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000so9800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000tj2700,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000tl1200,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000tl5600,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000tn4400,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000uh9400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000uh9800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000ui3100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000ui5400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000ui6400,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000uj0800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000uj3600,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000uj6500,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000uk1100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000ul1900,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000ul3200,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000ul7700,true,1,2,60,0.01965,0.35,0.3,1.134,1E-6
05410_g2000um7300,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000uo1100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000vb6800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000vh4000,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000vh9100,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000vh9500,true,1,2,60,0.02355,0.35,0.3,0.833532934131737,1E-6
05410_g2000vi6200,true,1,2,60,0.02355,0.35,0.3,0.833532934131737,1E-6
05410_g2000vj0200,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000vl8700,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000vm1500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000vm6800,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000vo8200,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000wh5900,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000wi4400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000wk0800,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wk8200,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000wl3500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wl4100,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wl9300,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000wm0100,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wm3200,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
