transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
subxfmr,1,sourcebus,delta,230,45000,1,0.0012,-1,0,1.1,0.9,32
subxfmr,2,subxfmr_lsb,wye,34.5,45000,1.0125,0.0012,-1,0,1.1,0.9,32
step_05410_a1,1,n312290.1.2.3,wye,34.5,2500,1,0.0026841171,-1,0,1.1,0.9,32
step_05410_a1,2,n312290_lo.1.2.3,wye,13.2,2500,1,0.0026841171,-1,0,1.1,0.9,32
step_05410_a2,1,n312314.1.2.3,wye,34.5,2500,1,0.0026841171,-1,0,1.1,0.9,32
step_05410_a2,2,n312314_lo.1.2.3,wye,13.2,2500,1,0.0026841171,-1,0,1.1,0.9,32
step_05410_g2001sj8600_1,1,n274468.1,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001sj8600_1,2,n274468_lo.1,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001sj8600_2,1,n274468.2,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001sj8600_2,2,n274468_lo.2,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001sk2300,1,n274491.2,wye,19.92,500,1,0.005,-1,0,1.1,0.9,32
step_05410_g2001sk2300,2,n274491_lo.2,wye,7.62,500,1,0.005,-1,0,1.1,0.9,32
step_05410_g2001ti7700_1,1,n274450.1,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ti7700_1,2,n274450_lo.1,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ti7700_2,1,n274450.2,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ti7700_2,2,n274450_lo.2,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001vd7700,1,n284033.3,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001vd7700,2,n284033_lo.3,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ve1300_1,1,n284072.3,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ve1300_1,2,n284072_lo.3,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ve1300_2,1,n284072.3,wye,19.92,500,1,0.004050000000000001,-1,0,1.1,0.9,32
step_05410_g2001ve1300_2,2,n284072_lo.3,wye,7.62,500,1,0.004050000000000001,-1,0,1.1,0.9,32
