name,r,r_dc,r_units,gmr,gmr_units,radius,radius_units,normal_amps,emergency_amps
oh_1/0_aaac_6201,0.8628,0.8458823529411765,mi,0.134,in,0.184,in,268,402
oh_1/0_aaac_5005,1.0262,1.006078431372549,mi,0.134,in,0.184,in,261,391.5
oh_unknown,0.1928,0.1890196078431373,mi,0.334191,in,0.429,in,118,177
oh_4/0_aac,0.4407,0.4320588235294118,mi,0.189,in,0.261,in,387,580.5
oh_#2_aaac_5005,1.6309,1.598921568627451,mi,0.106,in,0.146,in,195,292.5
oh_336_aac,0.2779,0.2724509803921568,mi,0.252,in,0.333,in,521,781.5
oh_477_aac,0.1968,0.1929411764705882,mi,0.3,in,0.3965,in,650,975
oh_#6a_copperweld,2.2,2.15686274509804,mi,0.057,in,0.115,in,118,177
oh_1/0_acsr_6/1,1.12,1.098039215686275,mi,0.054,in,0.199,in,242,363
oh_4/0_acsr_6/1,0.592,0.580392156862745,mi,0.098,in,0.2815,in,361,541.5
oh_336_acsr_18/1,0.2756,0.2701960784313726,mi,0.266418,in,0.342,in,526,789
oh_477_acsr_24/7,0.1937,0.1899019607843137,mi,0.329517,in,0.423,in,665,997.5
